1;arms_factory;281.00;10.40;1935.00;1.80;0
1;arms_factory;294.00;10.20;1942.00;4.81;0
1;arms_factory;302.00;10.28;1908.00;1.19;0
1;arms_factory;292.00;10.80;1918.00;3.86;0
1;arms_factory;297.00;10.50;1930.00;0.25;0
1;arms_factory;309.00;10.50;1897.00;3.26;0
1;industrial_complex;287.00;10.50;1904.00;4.47;0
1;industrial_complex;290.00;10.50;1912.00;2.31;0
1;industrial_complex;315.00;10.20;1919.00;0.14;0
1;industrial_complex;308.00;10.40;1893.00;0.25;0
1;industrial_complex;307.00;10.50;1900.00;4.37;0
1;industrial_complex;265.00;10.20;1925.00;0.75;0
1;air_base;318.00;10.45;1910.00;2.31;0
1;supply_node;300.00;10.20;1902.00;2.64;0
1;supply_node;294.00;10.30;1933.00;5.23;0
1;supply_node;276.00;10.20;1909.00;1.88;0
1;supply_node;278.00;10.20;1947.00;4.81;0
1;supply_node;270.00;10.20;1931.00;1.11;0
1;supply_node;312.00;10.30;1921.00;4.05;0
1;naval_base;272.00;10.10;1910.00;-1.68;15259
1;naval_base;314.00;10.15;1932.00;-3.93;15428
1;naval_base;288.00;10.15;1953.00;-3.14;15150
1;naval_base;264.00;9.50;1936.00;-1.57;15259
1;naval_base;309.00;10.20;1939.00;-3.73;15150
1;bunker;296.00;10.30;1939.00;0.31;0
1;bunker;285.00;10.55;1919.00;2.98;0
1;bunker;276.00;10.20;1949.00;6.00;0
1;bunker;316.00;10.30;1907.00;0.92;0
1;bunker;312.00;10.30;1925.00;5.05;0
1;bunker;270.00;10.20;1933.00;2.88;0
1;coastal_bunker;269.00;9.80;1908.00;-1.68;0
1;coastal_bunker;297.00;10.18;1948.00;-3.73;0
1;coastal_bunker;316.00;10.20;1927.00;-3.93;0
1;coastal_bunker;270.00;9.80;1948.00;-3.14;0
1;coastal_bunker;266.00;9.80;1941.00;-1.57;0
1;dockyard;271.00;10.10;1909.00;-1.68;0
1;anti_air_building;299.00;10.30;1893.00;4.61;0
1;anti_air_building;271.00;10.12;1944.00;6.16;0
1;anti_air_building;279.00;10.50;1926.00;4.00;0
1;synthetic_refinery;316.00;10.50;1913.00;0.38;0
1;fuel_silo;277.00;10.20;1909.00;1.94;0
1;rocket_site;277.00;10.20;1949.00;0.99;0
1;nuclear_reactor;286.00;10.45;1941.00;5.11;0
1;floating_harbor;305.88;9.50;1950.82;-0.59;1607
1;floating_harbor;260.04;9.50;1910.77;1.46;5006
1;floating_harbor;278.00;9.50;1959.00;0.00;5373
1;floating_harbor;257.00;9.50;1931.00;1.57;7797
1;floating_harbor;321.95;9.50;1930.95;-0.79;7798
2;arms_factory;2667.00;10.18;1911.00;1.19;0
2;arms_factory;2671.00;10.28;1915.00;3.86;0
2;arms_factory;2670.00;10.20;1917.00;0.25;0
2;arms_factory;2668.00;10.20;1912.00;3.26;0
2;arms_factory;2670.00;10.25;1916.00;4.47;0
2;arms_factory;2667.00;10.15;1912.00;2.31;0
2;industrial_complex;2667.00;10.15;1913.00;0.14;0
2;industrial_complex;2670.00;10.20;1913.00;0.25;0
2;industrial_complex;2669.00;10.18;1912.00;4.37;0
2;industrial_complex;2669.00;10.20;1913.00;0.75;0
2;industrial_complex;2672.00;10.20;1913.00;2.31;0
2;industrial_complex;2667.00;10.15;1913.00;4.98;0
